Temperature (K),Magnetic Field (Oe),DC Moment Free Ctr (emu),Field_True
300.0904694,50.19520569,0.00002,14.07
300.0821686,40.19771957,0.00000598,4.21
300.1021271,30.20023346,-0.00000773,-5.44
300.1468048,20.14163589,-0.0000228,-16.06
300.1449585,10.16859245,-0.0000344,-24.22
300.1334381,0.146662399,-0.00005,-35.23
300.092514,-9.960821152,-0.0000625,-44.02
300.0396118,-20.00719643,-0.0000786,-55.36
300.0392303,-30.0413475,-0.0000907,-63.92
300.1157074,-39.98994827,-0.000105116,-74.07
300.1983643,-50.04854584,-0.00011842,-83.44
300.1994781,-60.04603195,-0.000132651,-93.47
300.1499481,-70.06796265,-0.000146581,-103.29
300.1032715,-80.10211945,-0.000161319,-113.67
300.0239716,-90.07515717,-0.000173675,-122.38
300.0493622,-100.109314,-0.000188925,-133.12
300.0925751,-110.0945816,-0.000202305,-142.55
300.0706787,-120.1042862,-0.000215115,-151.58
300.1130219,-130.065094,-0.000230749,-162.59
300.0877686,-139.8792725,-0.000243569,-171.63
300.1020813,-149.9500732,-0.000258392,-182.07
300.1233673,-159.9109039,-0.000271019,-190.97
300.1495056,-169.9572754,-0.000283053,-199.45
300.1764832,-179.96698,-0.000300748,-211.92
300.197525,-189.9522552,-0.000315657,-222.42
300.1969452,-199.925293,-0.000328043,-231.15
300.1512299,-209.9594574,-0.000341462,-240.61
300.1070404,-220.0058289,-0.000355674,-250.62
300.0306854,-229.9910736,-0.000369885,-260.63
300.0404663,-239.9152374,-0.000383489,-270.22
300.1060944,-249.9249573,-0.000395576,-278.74
300.0839996,-259.9468994,-0.000411906,-290.24
300.0279083,-269.9810486,-0.000425958,-300.14
299.9539032,-280.0029602,-0.00043862,-309.07
299.8995209,-289.9760132,-0.00045058,-317.49
299.9497528,-299.9857178,-0.000465702,-328.15
299.9839325,-309.9832153,-0.000481738,-339.45
299.9898224,-320.0051575,-0.000496377,-349.76
299.9576874,-329.9659729,-0.000506689,-357.03
299.9995117,-339.9756775,-0.000523598,-368.94
300.0561066,-350.0342712,-0.000536032,-377.71
300.0197449,-359.9706421,-0.000548937,-386.8
300.0572052,-369.9925537,-0.000562024,-396.02
300.09552,-380.0267029,-0.000576519,-406.23
300.1268768,-389.9997864,-0.000589928,-415.68
300.1916351,-400.0461426,-0.000604487,-425.94
300.1961212,-410.0558777,-0.000621438,-437.88
300.1929626,-420.0777893,-0.000632186,-445.46
300.2303619,-430.0630188,-0.000647856,-456.5
300.2649994,-440.0605164,-0.000661672,-466.24
300.2605743,-450.0702515,-0.000671472,-473.14
300.2669983,-460.0921936,-0.000690573,-486.6
300.2946625,-470.0285339,-0.000702182,-494.78
300.3211823,-479.9893799,-0.000714339,-503.35
300.333786,-490.0479736,-0.000728613,-513.4
300.3452759,-500.0332336,-0.000742935,-523.5
300.3603668,-510.116272,-0.000755894,-532.63
300.3550262,-520.0281982,-0.000776183,-546.92
300.3309479,-530.098999,-0.000783143,-551.83
300.2647552,-540.0598755,-0.000800485,-564.05
300.201416,-550.0695801,-0.000812579,-572.57
300.2357635,-560.1036987,-0.000827115,-582.81
300.2099152,-569.9667358,-0.000839893,-591.82
300.2197876,-579.9398193,-0.000853873,-601.67
300.1973572,-589.961731,-0.000870676,-613.51
300.2192688,-599.9836426,-0.000883477,-622.53
300.2710876,-609.9933472,-0.000896655,-631.81
300.2541809,-620.0153198,-0.000911088,-641.98
300.1719818,-630.0128174,-0.000926106,-652.56
300.1067505,-640.022522,-0.000939917,-662.3
300.0643616,-650.0199585,-0.000954128,-672.31
300.1258698,-659.9563599,-0.000965208,-680.12
300.10112,-670.0516357,-0.000977804,-688.99
300.0126801,-679.9268799,-0.001001588,-705.75
299.9265137,-689.8754883,-0.001007967,-710.25
299.9185944,-699.8851929,-0.001022713,-720.64
299.9699249,-709.8338013,-0.001036588,-730.41
300.0948181,-719.7457275,-0.001046729,-737.56
300.1411285,-729.8287964,-0.001059499,-746.56
300.0947266,-739.8873901,-0.001082093,-762.48
300.0558472,-749.8604126,-0.00109133,-768.99
300.1081696,-759.8334351,-0.001102718,-777.01
300.1531525,-769.8920288,-0.001121079,-789.95
300.1990051,-779.8406372,-0.001132221,-797.8
300.2389374,-789.899231,-0.001139198,-802.72
300.2766571,-799.8601074,-0.001152241,-811.91
300.2106628,-1000.115356,-0.001435217,-1011.3
300.1988983,-1499.696411,-0.00211893,-1493.07
300.1667938,-2000.071777,-0.002803391,-1975.36
300.1684113,-2500.215088,-0.003488965,-2458.44
300.2212982,-3000.272705,-0.004167865,-2936.81
300.2544708,-3500.269287,-0.004853077,-3419.63
300.265564,-4000.326904,-0.005536531,-3901.22
300.2711182,-4500.40918,-0.006220873,-4383.43
300.2691956,-5000.479004,-0.006905471,-4865.82
300.2413177,-5500.280273,-0.0075895,-5347.81
300.2496033,-6000.38623,-0.008274209,-5830.27
300.2675018,-6500.321777,-0.008958501,-6312.45
300.1895599,-7000.39209,-0.009644258,-6795.66
300.1075287,-7500.388672,-0.010329723,-7278.66
300.0743103,-8000.348145,-0.01101594,-7762.19
300.0779572,-8500.320313,-0.011702487,-8245.95
300.0389099,-9000.353516,-0.012388287,-8729.19
300.0358734,-9500.484375,-0.013078166,-9215.3
300.04422,-10000.49316,-0.013762092,-9697.21
300.0466766,-15000.37402,-0.0206138,-14525.15
300.1474152,-20000.27734,-0.027466132,-19353.52
300.0899353,-25000.26953,-0.034324711,-24186.3
300.0534821,-30000.42773,-0.041185697,-29020.77
300.0850525,-35000.42969,-0.048049837,-33857.46
300.0834656,-40000.46094,-0.054902897,-38686.35
300.1072845,-45000.30469,-0.061763048,-43520.24
300.1431427,-50000.32813,-0.068617127,-48349.84
300.1689301,-55000.30859,-0.075459552,-53171.23
300.1761475,-60000.41797,-0.082328995,-58011.67
300.1622009,-65000.35938,-0.089183564,-62841.62
300.1393127,-70000.35938,-0.096039448,-67672.49
