,Temp,Field,Moment_emu,Moment_emu_g,,
136,136.7060013,0.010013375,0.009932041,4.318278824,,
137,137.5111389,0.010013375,0.009894959,4.302156105,,
138,139.0324097,0.010013375,0.009827191,4.272691667,,
139,139.8381119,0.010013375,0.009790935,4.256928478,,
140,141.3726273,0.010013375,0.009724328,4.227968508,,
141,142.2029495,0.010013375,0.009687812,4.212092181,,
142,143.7144241,0.010013375,0.009620912,4.183005081,,
143,144.5369186,0.010013375,0.009585099,4.167434495,,
144,146.061676,0.010013375,0.009519984,4.139123653,,
145,146.8791046,0.010013375,0.009484379,4.123643068,,
146,148.4106293,0.010013375,0.009419978,4.095642565,,
147,149.213562,0.010013375,0.009385532,4.080666162,,
148,150.720726,0.010013375,0.009321741,4.052931069,,
149,151.5237122,0.010013375,0.009287875,4.038206357,,
150,153.0555038,0.010013375,0.009225119,4.010921221,,
151,153.8744736,0.010013375,0.009191574,3.996336518,,
152,155.4003677,0.010013375,0.009129248,3.969238104,,
153,156.9341888,0.010013375,0.009066715,3.942049853,,
154,157.7339096,0.010013375,0.009033756,3.927719783,,
155,159.267334,0.010013375,0.008972731,3.90118721,,
156,160.0678864,0.010013375,0.008939962,3.886940167,,
157,161.5931396,0.010013375,0.00887986,3.860808496,,
158,163.101532,0.010013375,0.008819776,3.834685423,,
159,164.6302261,0.010013375,0.008759545,3.808497899,,
160,166.1433792,0.010013375,0.008700461,3.782808991,,
161,167.6753387,0.010013375,0.008641248,3.757064397,,
162,169.1894913,0.010013375,0.008582838,3.731668566,,
163,170.7170563,0.010013375,0.008525357,3.706677021,,
164,172.2445526,0.010013375,0.008468269,3.681856012,,
165,173.764267,0.010013375,0.008410509,3.656743233,,
166,175.2808838,0.010013375,0.008352971,3.631726561,,
167,176.8107376,0.010013375,0.008297509,3.60761246,,
168,178.3106003,0.010013375,0.008241243,3.583149162,,
169,179.8696747,0.010013375,0.00818562,3.558965049,,
170,181.3780975,0.010013375,0.008130352,3.534935725,,
171,182.8823013,0.010013375,0.0080754,3.511043279,,
172,184.4050293,0.010013375,0.008020895,3.487345723,,
173,185.9604263,0.010013375,0.007966103,3.463523055,,
174,187.4782333,0.010013375,0.007913541,3.440670131,,
175,188.9997559,0.010013375,0.007860371,3.417552773,,
176,190.5329056,0.010013375,0.007807965,3.394767484,,
177,192.0313187,0.010013375,0.007755938,3.372146863,,
178,193.5600052,0.010013375,0.00770318,3.349208845,,
179,195.0887985,0.010013375,0.007652409,3.327134357,,
180,196.6143112,0.010013375,0.00760088,3.304730336,,
181,198.166687,0.010013375,0.007550231,3.282709106,,
182,199.7081528,0.010013375,0.007500363,3.261027184,,
183,201.1924591,0.010013375,0.007450572,3.239379171,,
184,202.7162399,0.010013375,0.007400766,3.217724561,,
185,204.2223587,0.010013375,0.00735221,3.19661311,,
186,205.7411575,0.010013375,0.007302944,3.175192894,,
187,207.2537994,0.010013375,0.007254139,3.153973356,,
188,208.7974319,0.010013375,0.007204687,3.132472667,,
189,210.3581924,0.010013375,0.007156771,3.111639642,,
190,211.8653717,0.010013375,0.007109741,3.091191782,,
191,213.3893204,0.010013375,0.007061908,3.070394826,,
192,214.9767838,0.010013375,0.007015013,3.050005824,,
193,216.4611282,0.010013375,0.006968709,3.02987347,,
194,217.9907303,0.010013375,0.006921964,3.009549376,,
195,219.5179367,0.010013375,0.006876253,2.989675174,,
196,221.0301743,0.010013375,0.006830759,2.969895338,,
197,222.553299,0.010013375,0.006785374,2.950162519,,
198,224.0406342,0.010013375,0.006740906,2.930828908,,
199,225.566246,0.010013375,0.006696516,2.911528855,,
200,226.9900589,0.010013375,0.006655176,2.893554642,,
201,228.429184,0.010013375,0.006613274,2.875336396,,
202,229.9211807,0.010013375,0.006571794,2.857301643,,
203,231.446106,0.010013375,0.006528206,2.838350587,,
204,232.9413986,0.010013375,0.006484588,2.819385957,,
